,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Close 2016,Close 2017,Close 2018,Close 2019,Close 2020,Close 2021
616,507779,KANPRPLA,KANPUR PLASTIPACK LTD.,Active,B,10.0,INE694E01014,Containers & Packaging,Equity,97.25,159.00,132.60,66.10,125.85,129.30
617,507785,TAINWALCHM,TAINWALA CHEMICALS & PLASTICS (INDIA) LTD.,Active,B,10.0,INE123C01018,Plastic Products,Equity,45.90,127.65,78.50,54.15,75.35,78.25
618,507789,JAGSNPHARM,JAGSONPAL PHARMACEUTICALS LTD.,Active,B,5.0,INE048B01027,Pharmaceuticals,Equity,34.05,38.15,31.55,25.75,71.55,84.10
619,507794,KHAICHEM,KHAITAN CHEMICALS & FERTILIZERS LTD.,Active,B,1.0,INE745B01028,Fertilizers,Equity,14.05,20.65,10.56,7.60,27.35,27.30
620,507808,UNTTEMI,UNITED LEASING & INDUSTRIES LTD.,Active,P,10.0,INE357P01014,Textiles,Equity,10.73,15.80,14.05,6.52,6.48,NA
621,507813,NOL,NATIONAL OXYGEN LTD.,Active,XT,10.0,INE296D01010,Industrial Gases,Equity,38.25,46.10,41.30,39.00,39.00,43.50
622,507815,GILLETTE,GILLETTE INDIA LTD.,Active,A,10.0,INE322A01010,Personal Products,Equity,"4,286.30","6,779.95","6,496.70","6,580.40","5,790.30","5,883.40"
623,507817,WIREFABR,WIRES & FABRIKS (SA) LTD.,Active,X,10.0,INE469D01013,Textiles,Equity,103.50,128.00,94.05,45.45,56.00,66.25
624,507828,ANSALHSG,Ansal Housing Ltd-$,Active,B,10.0,INE880B01015,Realty,Equity,19.45,27.15,11.18,5.25,7.08,7.36
625,507836,MCCHRLS-B,MAC CHARLES (INDIA) LTD.,Active,X,10.0,INE435D01014,Hotels,Equity,659.15,452.60,336.25,370.00,232.95,223.00
626,507852,ADDIND,ADDI INDUSTRIES LTD.-$,Active,X,5.0,INE757C01021,Other Apparels & Accessories,Equity,7.30,9.85,8.00,8.00,3.22,2.92
627,507864,PIONRINV,PIONEER INVESTCORP LTD.,Active,X,10.0,INE746D01014,Other Financial Services,Equity,25.55,47.95,18.80,46.95,29.45,29.75
628,507872,ASHNOOR,ASHNOOR TEXTILE MILLS LTD.,Active,XT,10.0,INE372I01018,Textiles,Equity,18.00,21.85,17.75,13.74,14.92,14.11
629,507878,UNITECH,UNITECH LTD.,Active,Z,2.0,INE694A01020,Realty,Equity,4.03,9.64,2.09,1.00,1.88,2.16
630,507880,VIPIND,V.I.P.INDUSTRIES LTD.-$,Active,A,2.0,INE054A01027,Other Apparels & Accessories,Equity,117.10,351.10,515.00,432.15,364.65,377.20
631,507886,DHRUVES,DHRUV ESTATES LTD.,Active,XT,10.0,INE780E01011,Realty,Equity,30.00,31.00,28.00,26.50,13.07,NA
632,507894,SCHABLON,SCHABLONA INDIA LTD.,Active,X,4.0,INE024C01026,Furniture-Furnishing-Paints,Equity,16.10,15.92,9.22,12.54,10.40,11.44
633,507910,FIBERWEB,FIBERWEB (INDIA) LTD.,Active,X,10.0,INE296C01020,Plastic Products,Equity,174.30,305.70,42.45,15.15,31.75,30.55
634,507912,LKPFIN,LKP Finance Limited,Active,X,10.0,INE724A01017,Other Financial Services,Equity,64.25,132.95,170.60,89.00,120.15,111.70
635,507917,EASTBUILD,EAST BUILDTECH LTD.,Active,XT,10.0,INE706N01017,Realty,Equity,7.00,6.66,6.98,10.45,9.79,NA
