,Security Code,Close Jul 20,Close Aug 20,Close Sep 20,Close Oct 20,Close Nov 20,Close Dec 20,Close Jan 21
2848,533221,255.00,254.90,270.00,245.15,245.35,264.45,260.60
2849,533227,138.95,168.15,145.00,140.00,136.00,164.00,165.50
2850,533229,175.55,172.05,182.15,186.00,204.85,214.15,219.10
2851,533239,0.75,0.80,0.65,0.65,0.69,0.95,1.03
2852,533248,74.95,80.10,82.50,88.30,96.65,96.65,93.95
2853,533252,214.00,268.50,240.50,250.00,291.95,354.25,373.65
2854,533257,1.20,1.53,1.30,1.10,1.16,1.74,2.24
2855,533259,81.75,103.40,84.00,95.50,133.95,128.50,135.35
2856,533260,136.85,146.10,171.20,166.30,164.10,159.80,161.50
2857,533261,18.30,23.05,20.60,18.60,21.55,22.70,23.20
2858,533262,35.45,33.85,29.50,28.90,33.35,52.15,50.35
2859,533263,2.13,2.05,1.78,1.97,2.18,2.46,3.35
2860,533265,26.60,28.00,27.75,28.00,31.00,36.05,41.85
2861,533267,290.35,299.90,321.90,326.45,339.55,380.30,375.60
2862,533268,2.77,2.88,3.00,3.00,3.20,3.04,2.49
2863,533269,114.50,191.55,194.85,182.65,199.05,206.10,207.95
2864,533270,12.96,16.19,19.15,19.80,20.10,27.35,26.80
2865,533271,50.45,68.30,64.45,60.65,77.45,92.60,96.40
2866,533272,11.82,16.44,15.50,13.80,14.75,20.22,26.75
2867,533273,349.95,389.75,394.05,442.95,463.35,583.00,585.50
2868,533274,196.70,247.45,252.05,250.35,267.50,266.00,290.80
2869,533275,2.89,2.81,3.07,3.44,3.28,3.27,3.21
2870,533278,129.35,134.45,116.00,114.20,125.60,135.50,141.70
2871,533282,46.05,50.20,50.60,42.60,51.30,77.10,81.55
2872,533284,52.00,56.25,49.40,47.60,45.70,55.25,67.10
2873,533285,13.67,13.97,15.46,13.55,16.76,18.35,18.05
2874,533286,143.55,147.80,140.25,128.70,123.80,143.10,147.55
2875,533287,13.50,14.95,11.71,10.78,12.34,13.55,13.72
2876,533289,24.95,27.80,28.75,28.75,32.30,38.85,40.10
2877,533292,4.05,5.01,4.08,3.78,4.04,4.89,5.54
2878,533293,105.60,123.05,107.95,101.80,114.55,127.10,129.85
2879,533294,6.77,7.22,7.00,6.34,6.36,9.26,9.66
2880,533295,13.55,12.95,11.09,10.57,13.93,13.35,13.51
2881,533296,24.80,27.95,15.85,15.40,16.55,19.00,17.55
